id,QuiÃ©n,DirecciÃ³n,Coordenadas,Ciudad ,PaÃ­s,QuÃ© reciben,Contacto
11,Fitness Factory Cabudare,"CC Hipermercado Multimall, Avenida El Placer, con Av. Libertador,","10.037954617697917, -69.27696848530664",Cabudare,Venezuela,"Agua, alimentos no perecederos, productos de higiene personal, paÃ±ales, formula para bebÃ©s, cobijas, mantas y ropa en buen estado",https://www.instagram.com/p/DaApx5TAAkN/?img_index=1&igsh=MWprOWNwODh2eHowdA==
12,Rescatistas y vecinos,"Edificio Petunia, Av Francisco de Miranda entre Los Palos Grandes y Altamira","10.497912389016717, -66.8477711386003",Caracas,Venezuela,"Agua, alimentos no perecederos",
13,Rescatistas y vecinos,"Altamira, frente a la sede de la CAF","10.498929331667387, -66.84832596634126",Caracas,Venezuela,"Agua, alimentos no perecederos",Victoria Castillo 04121937746/DesireÃ© Lugo 04249050118
14,Comando Con Venezuela,"Cuarta avenida de Altamira, entre novena y dÃ©cima transversal; quinta El Bejucal.","10.510624523203594, -66.85290362216404",Caracas,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",https://www.instagram.com/p/DZ_kBlyIVRI/?hl=es
15,Comando Con Venezuela,Iglesia La Paz en MontalbÃ¡n I. Municipio Libertador,"10.475873230212263, -66.95059189251715",Caracas,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",https://www.instagram.com/p/DZ_puvBIAO3/?hl=es
16,Comando Con Venezuela,Iglesia San Bernardino de Siena. Parroquia San Bernardino.,"10.513941471752892, -66.90172426453836",Caracas,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",https://www.instagram.com/p/DZ_puvBIAO3/?hl=es
17,Sociedad civil,"Quinta el Bejucal, cuarta av transversal de Altamira, entre novena y dÃ©cima transversal",,Caracas,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencerÃ­a",
18,CÃ¡ritas Venezuela,"Sede de la conferencia Episcopal Venezolana, Avenida TeherÃ¡n, a 200 metros de la Universidad CatÃ³lica AndrÃ©s Bello (UCAB), frente a la UrbanizaciÃ³n Juan Pablo II, en el sector de MontalbÃ¡n.","10.46728347692278, -66.96836523568012",Caracas,Venezuela,,
19,FundaciÃ³n Cruz Azul,"Fitness factory VE, 4 avenida de Los Palos Grandes entre 1ra y 2da transversal","10.502559221824809, -66.84659049334614",Caracas,Venezuela,Insumos mÃ©dicos,https://www.instagram.com/cruzazulusm
20,Instituto de DiseÃ±o de Caracas,"Av. Ãvila, Caracas 1060, Miranda","10.497144822463262, -66.8532426645166",Caracas,Venezuela,"Agua potable, ropa (prioridad sueteres) cobijas, comida, insumos medicos, linternas, cascos, martillos, chalecos, artÃ­culos de higiene ",4123212782
21,Gobierno de Venezuela,FundaciÃ³n Social BolÃ­var (Sede 911),,CaronÃ­,Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",
22,Gobierno de Venezuela,Mundo de Sonrisas ,"8.128437741164435, -63.54454026384825",Ciudad BolÃ­var ,Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",
23,Rotaract Santo Ãngel,"CroquÃ­nea a un lado de la ClÃ­nica Razzeti, Altavista","8.295134005207371, -62.734084411562236",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, paÃ±alaes, toallas sanitarias, insumos mÃ©dicos, lencerÃ­a, comida para animales",Victoria Castillo 04121937746/DesireÃ© Lugo 04249050118
24,Rotaract Santo Ãngel,Laboratorio Roraima ClÃ­nica Humana San Felix,"8.361775298738507, -62.666026474127676",Ciudad Guayana,Venezuela,Venezuela,Victoria Castillo 04121937746/DesireÃ© Lugo 04249050118
25,Rotaract Santo Ãngel,UCAB Guayana ExtensiÃ³n Social Universitaria,"8.297310424794086, -62.711355704982545",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, paÃ±alaes, toallas sanitarias, insumos mÃ©dicos, lencerÃ­a, comida para animales",Victoria Castillo 04121937746/DesireÃ© Lugo 04249050118
26,Rotaract Santo Ãngel,Terraza Box Villa Alianza junto a la clÃ­nica Santa Isabel,"8.30609708958305, -62.7188576043689",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, paÃ±alaes, toallas sanitarias, insumos mÃ©dicos, lencerÃ­a, comida para animales",Victoria Castillo 04121937746/DesireÃ© Lugo 04249050118
27,Rotaract Santo Ãngel,Crazy Pets Orinokia Mall,"8.292619625030907, -62.741633079795804",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, paÃ±alaes, toallas sanitarias, insumos mÃ©dicos, lencerÃ­a, comida para animales",Victoria Castillo 04121937746/DesireÃ© Lugo 04249050118
28,Sociedad civil,FCU-UCV,"10.491838298877855, -66.88887722244455",Distrito Capital,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencerÃ­a",
29,Sociedad civil,Frente a la iglesia Rumana en la entrada a la vÃ­a de La UniÃ³n,"10.418468487142762, -66.82119856714901",El Hatillo,Venezuela,URGENTE:  alimento para bebÃ©s y paÃ±ales.,0414/2384085
30,Sociedad civil,"Burger Latin, centro comercial Palma Center","10.224717688400451, -67.33465213568259",La Victoria,Venezuela,"Agua, baterÃ­as, alimentos para mascotas, insumos mÃ©dicos, ropa en buen estado, paÃ±ales, palaes y picos",https://www.instagram.com/p/DaAk8GWOLGH/?igsh=MXB2NDFyNzlheG54Nw%3D%3D
31,Sociedad civil,"Bodega 33, centro comercial El Solidario","10.22831845416021, -67.32110572216507",La Victoria,Venezuela,"Agua, baterÃ­as, alimentos para mascotas, insumos mÃ©dicos, ropa en buen estado, paÃ±ales, palaes y picos",https://www.instagram.com/p/DaAk8GWOLGH/?igsh=MXB2NDFyNzlheG54Nw%3D%3D
32,Sociedad civil,CEI MarÃ­a de las Mercedes Calle Dr Vicentelli c/c Rosa MarÃ­a Paredes #7 Sector Centro,"10.229109779151717, -67.33124932214683",La Victoria,Venezuela,"Insumos mÃ©dicos, agua potable, alimentos no perecederos, artÃ­culos de higiene persona, paÃ±ales, fÃ³rmulas infantiles",Dr Jhander Delgago 4243573790 Kevin Campos 4124224314
33,Sociedad civil,"Parroquia Nuestra SeÃ±ora del Carmen, calle ColÃ³n ",,La Victoria,Venezuela,"Insumos mÃ©dicos, agua potable, alimentos no perecederos, artÃ­culos de higiene persona, paÃ±ales, fÃ³rmulas infantiles",Dr Jhander Delgago 4243573790 Kevin Campos 4124224314
34,Sociedad civil,Playa Mansa ,"10.192602657113932, -64.69663557340279","Lecheria, Anzoategui ",Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",desde las 10 am hasta las 6 pm aprox.
35,Un Nuevo Tiempo,Sede regional Un Nuevo Tiempo,"10.681654258077481, -71.6039479098895",Maracaibo,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",
36,Vente Zulia,"Calle 70 con av 15A y 15B N15A-39, calle paralela a Nebabrica","10.67025557783764, -71.6223117420334",Maracaibo,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",
37,Comando Con Venezuela,Avenida 19 de Abril Centro Comercial La Capilla Piso 1 Local 21,"10.253030921263193, -67.60026666376618",Maracay,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",https://www.instagram.com/p/DZ_kBlyIVRI/?hl=es
38,Voluntad Popular,"Paseo de la Libertidad, Avenida Las Delecias, frente al Centro MÃ©dico Maracay","10.25853436615874, -67.59117843530922",Maracay,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",
39,Voluntad Popular,"Calle 6, Antigua BermÃºdez, casa N11, antiguo restaurante El Oeste",,MaturÃ­n,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",
40,Sociedad civil,Colegio de MÃ©dicos,"8.586259264425863, -71.15960062217263",MÃ©rida,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencerÃ­a",
41,Animales Sin Nombre,CC EL Rodeo / Contactarlos,"8.589886045747033, -71.16104365102335",MÃ©rida,Venezuela,"alimento para los animalitos, medicinas, antidiarreicos",https://www.instagram.com/_asn?igsh=MWUxbTI2OWx4ZzJlYQ==
42,Rotaract TÃ¡chira,"Brave Community Fitness, al lado del hotel Manuel","7.8152288254915385, -72.44407457017164",San Antonio,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",573508741816
43,Sociedad civil,Madeco Av Cuatricentenaria,"7.780711845076686, -72.23494919145843",San CristÃ³bal,Venezuela,"Comida, ropa, agua, insumos mÃ©dicos",
44,Rotaract TÃ¡chira,"Revista Rotaria, frente a la Cruz Roja","7.778149815060326, -72.21834532214335",San CristÃ³bal,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",0414-7121207
45,Rotaract TÃ¡chira,Edificio Rotario Dr Augusto PeÃ±a Sosa Piso 2 Avenida 19 de abril,"7.740808416396275, -72.2338067999405",San CristÃ³bal,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",
46,Sociedad civil,"UCAT, sede vieja","7.773386362240922, -72.22598840052166",TÃ¡chira,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencerÃ­a",
47,Sociedad civil,ULA,"7.791620752658194, -72.21324335305661",TÃ¡chira,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencerÃ­a",
48,Sociedad civil,UNET. Edificio A sede de Ing Civil,"7.795471605099425, -72.19950130125851",TÃ¡chira,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencerÃ­a",
49,Rotaract TÃ¡chira,Centro MÃ©dico Rotario CÃ©sar Dario GonzÃ¡lez,"7.817954818361031, -72.22025679331186",Tariba,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",2763949051
50,Sociedad civil,"Municipio Trujillo Capital. Centro Comercial Plaza Marina. Local 30","9.365772336174697, -70.43571359331084",Trujillo,Venezuela,"Insumos mÃ©dicos, alimentos no perecederos, ropa en buen estado",Luis Pulgar (04126840791)
51,Sociedad civil,"Municipio Sucre: Urb. El Trompillo 2, parroquia Valmore Rodriguez, casa #39 (Casa Delgado)","9.434088434940184, -70.77917405934332",Trujillo,Venezuela,"Insumos mÃ©dicos, alimentos no perecederos, ropa en buen estado",Gabriela Delgado (04121644063)
52,Sociedad civil,"Municipio Pampanito: Pampanito I, Urb. Villa Hermosa, 4ta calle, Casa num 377","9.408538680249487, -70.49243827086197",Trujillo,Venezuela,"Insumos mÃ©dicos, alimentos no perecederos, ropa en buen estado",Laudelino VÃ¡squez (04129843407)
53,Gobierno de Venezuela,Casa de la Mujer,"8.000095787770984, -62.39374026263498",Upata,Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",
54,JÃ³venes por el clima,Av BolÃ­var frente al Multicentro,"10.213446815289203, -68.00967073050681",Valencia,Venezuela,Centro de acopio,https://www.instagram.com/p/DaAB8S-CAiB/?igsh=Njl4YXk4N3drM2tm
55,Comando Con Venezuela,"Avenida MonseÃ±or Adams, El ViÃ±edo. Edificio Talislandia, mezzanina.","10.2138690146587, -68.01353392215293",Valencia,Venezuela,"Agua, alimentos no perecederos, insumos mÃ©dicos, ropa y abrigos.",https://www.instagram.com/p/DZ_kBlyIVRI/?hl=es
56,Sociedad civil,"Av. Principal la floresta, sector Santa Elena, Casa G-11 (Casa Prada","9.312972214840618, -70.6214113012007",Valera,Venezuela,"Insumos mÃ©dicos, alimentos no perecederos, ropa en buen estado",Edgar Prada (04247137359)
57,CÃ¡ritas Venezuela,"Sector centro, calle PÃ¡ez entre Brasil y PerÃº, frente a la primera casa de Punto Fijo","11.695056265431477, -70.21081476004105",Punto Fijo,Venezuela,"Agua potable, paÃ±ales adultos y niÃ±os, productos de higiene personal, alimentos no pereceeros, medicamentos esenciales",
58,COLEGIO CRISTO REY ALTAMIRA,"Colegio Cristo Rey Altamira. 7ma Avenida, entre 6ta y 7ma Transversal. https://maps.app.goo.gl/WwtukMpkrjwn1tP2A?g_st=ic","10.505756272455024, -66.8490452644854",Caracas,Venezuela,"Enlatados, frutos secos, harina pan, queso, jamÃ³n, pan, primeros auxilios, herramientas y protecciÃ³n (cinceles, mandarrias, guantes para escombros, gatos de botella, piquetas, cascos de seguridad palas)",
59,UCAB Guayana,Planta alta casa del estudiante DirecciÃ³n de Desarrollo Estudiantil UCAB Guayana ,"8.297484945811043, -62.71152284539116",Puerto Ordaz,Venezuela,"Cajas, bolsas negras, botellas vacÃ­as de cinco litros, alimentos no perecederos, agua potable, gasas, insumos mÃ©dicos, cascos, guantes de ferreterÃ­a, artÃ­culos de higiene personal, calzado y ropa en buen estado",4249147305
60,Teatro de la Ãpera,Teatro de la Ãpera,"10.24904112000907, -67.5954549356609",Maracay,Venezuela,"Agua potable y alimentos no perecederos, medicamentos e insumos de primeros auxilios, productos de higiene personal y paÃ±ales, ropa y cobijas en buen estado",
61,Fe y AlegrÃ­a,"Fe y AlegrÃ­a ""Padre Felipe Salvador Gilij"" ","8.60508895402056, -70.19567902615306",Barinas,Venezuela,,
62,RELEVECA,"Ciudad Ojeda, centro comercial Reycall, frente a la E/S La Tropicana","10.189255858679953, -71.31196093571084","Ciudad Ojeda, Estado Zulia ",Venezuela,"ArtÃ­culos de higiene personal, ropa, alimentos no perecederos, alimento para mascotas, insumos mÃ©dico",04122581233 - 04246302640 - https://instagram.com/releveca_ca/
63,Colegio de MÃ©dicos,Sede del Colegio de MÃ©dicos,"10.688634014026924, -71.63455177799231",Maracaibo,Venezuela,Material MÃ©dico y primeros auxilios y medicamentos esenciales,https://www.instagram.com/comezu_2021
64,Expresos Occidente,Principales sedes ,,,Venezuela,"Alimentos no perecederos, agua potable embotellada, artÃ­culos de higiene, insumos mÃ©dicos, ropa limpia y en buen estado",
65,Gobierno de Venezuela,"Carretera H, frente al Hotel Costa Sol (antiguo El Remanso) ","10.401187648315185, -71.45450165956838",Cabimas ,Venezuela,"Alimentos no perecederos, productos de higiene personal, insumos mÃ©dicos bÃ¡sicos, productos de limpieza, ropa y calzado en buen estado, agua potable envasada",
66,Gobierno de Venezuela,"Avenida 32 con Carretera H, frente a las oficinas de Corpoelec","10.40836306759094, -71.44202462491764",Cabimas ,Venezuela,"Alimentos no perecederos, productos de higiene personal, insumos mÃ©dicos bÃ¡sicos, productos de limpieza, ropa y calzado en buen estado, agua potable envasada",
67,Gobierno de Venezuela,"Carretera H, Centro Comercial Borjas, estaciÃ³n radial Xtrema 98.9FM","10.398614928926342, -71.45816446449045",Cabimas ,Venezuela,"Alimentos no perecederos, productos de higiene personal, insumos mÃ©dicos bÃ¡sicos, productos de limpieza, ropa y calzado en buen estado, agua potable envasada",
68,Sociedad civil,"CC Santa Eulalia, urb BoyacÃ¡, exq Brill ","10.155816104962542, -64.6798758867721",Anzoategui,Venezuela,"Alimentos no perecederos, ropa en buenas condiciones, medicamentos de primera necesidad, artÃ­culos de higiene",Brill PanaderÃ­a https://www.instagram.com/stories/exqbrill/3927402934296267999/?hl=es
69,Caritas de Venezuela ,"Parroquia Santo Domingo de GuzmÃ¡n, las Cocuizas.","9.756459713059137, -63.15551045813666",Monagas,Venezuela,"Alimentos no perecederos, agua potable, paÃ±ales para adultos y niÃ±os",
70,Caritas de Venezuela ,Catedral nuestra Sra del Carmen.,"9.745238701240737, -63.1722641509784",Monagas,Venezuela,"Alimentos no perecederos, agua potable, paÃ±ales para adultos y niÃ±os",
71,Sociedad civil,"Chef Margaro G42F+5MW Diagonal Residencias Florida Suites, Avenida Los Jardines, Caracas","10.500475471243746, -66.87580186447677",Caracas,Venezuela,"Agua embotellada, alimentos no perecederos, insumos mÃ©dicos, paÃ±ales, toallas santarias",
72,Sociedad civil,iglesia Nuestra SeÃ±ora de Guadalupe ,"10.588186053193382, -71.63505926000926","Sierra Maestra, San Francisco estado Zulia",Venezuela,,
73,G3 LogÃ­stica,"Av. Principal de Los Cortijos de Lourdes, Edificio Maploca, Los Cortijos de Lourdes","10.480898975241852, -66.82789809332296",Caracas,Venezuela,Donaciones (centro de acopio),"Horario: 9:00 AM a 12:00 PM y 2:00 PM a 3:30 PM, lunes a viernes"
74,"CÃ¡ritas Venezuela, Sede MontalbÃ¡n","Av. TeherÃ¡n, a 200 mts de la UCAB, frente a la UrbanizaciÃ³n Juan Pablo II, Sede de la Conferencia Episcopal Venezolana, MontalbÃ¡n",,Caracas,Venezuela,Donaciones (centro de acopio),
75,Centro de Acopio Bloque HistÃ³rico Popular (CEPROI - Intelecto Urbano),"Parroquia Sucre de Caracas, Catia, sector PÃ©rez Bonalde, entre 7ma Av. y Calle Colombia, al lado del Hospital PediÃ¡trico Dr. ElÃ­as Toro, local Intelecto Urbano","10.505415549863448, -66.94750437504939",Caracas,Venezuela,Alimentos para la elaboraciÃ³n de raciones de comida,Inyerber GutiÃ©rrez +58 412-3799207
76,AlcaldÃ­a de Chacao - Sede de Desarrollo Social,Calle Los Ãngeles (lateral al Centro Comercial Sambil Chacao),"10.489799773820788, -66.85520797984778",Caracas,Venezuela,"HidrataciÃ³n, sÃ¡banas, alimentos no perecederos",0424 128 59 89 / 0424 204 22 53 / 0424 126 84 42 | IG @gustavoduquesaez @alcaldiachacao | X @duquegustavos @Chacao
77,G3 LogÃ­stica,"Calle La Pedrera, Fundo Los Marines, Lote S/N, Zona Industrial San Diego, Edo. Carabobo","10.191881058390617, -67.97473483567705",Valencia,Venezuela,Donaciones (centro de acopio),"Horario: 9:00 AM a 12:00 PM y 2:00 PM a 3:30 PM, lunes a viernes"
78,G3 LogÃ­stica,"Zona Industrial II, Av. Principal con Calle 6, Locales 110-111-112, Municipio Iribarren, Distrito Iribarren, Edo. Lara","10.079700528728534, -69.3725748021845",Barquisimeto,Venezuela,Donaciones (centro de acopio),"Horario: 9:00 AM a 12:00 PM y 2:00 PM a 3:30 PM, lunes a viernes"
79,Colegio Mater Salvatoris,"Cerro Quintero, Caracas","10.485289473555275, -66.86608646448032",Caracas,Venezuela,,
